"","Stkcd","Rptdt","Fenddt","Brokern","Feps","EDates","REps","name","dev","DateDiff"
"60",1,2008-03-05,2007-12-31,"长城证券有限责任公司",1.15,"rptDate=20071231",1.27,"陈瑾",0.094488188976378,-65
"61",1,2008-03-05,2008-12-31,"长城证券有限责任公司",1.58,"rptDate=20081231",0.2,"陈瑾",6.9,301
"62",1,2009-03-20,2008-12-31,"中国建银投资证券有限责任公司",0.2,"rptDate=20081231",0.2,"陈水祥",0,-79
"63",1,2009-03-20,2010-12-31,"中国建银投资证券有限责任公司",1.68,"rptDate=20101231",1.91,"陈水祥",0.120418848167539,651
"64",1,2009-03-20,2009-12-31,"中国建银投资证券有限责任公司",1.5,"rptDate=20091231",1.62,"陈水祥",0.0740740740740741,286
"65",1,2009-04-24,2010-12-31,"中国建银投资证券有限责任公司",1.68,"rptDate=20101231",1.91,"陈水祥",0.120418848167539,616
"66",1,2009-04-24,2009-12-31,"中国建银投资证券有限责任公司",1.5,"rptDate=20091231",1.62,"陈水祥",0.0740740740740741,251
"67",1,2009-04-24,2011-12-31,"中国建银投资证券有限责任公司",1.96,"rptDate=20111231",2.47,"陈水祥",0.206477732793522,981
"68",1,2009-06-30,2009-12-31,"中国建银投资证券有限责任公司",1.22,"rptDate=20091231",1.62,"陈水祥",0.246913580246914,184
"69",1,2009-06-30,2010-12-31,"中国建银投资证券有限责任公司",1.44,"rptDate=20101231",1.91,"陈水祥",0.246073298429319,549
"70",1,2009-06-30,2011-12-31,"中国建银投资证券有限责任公司",1.66,"rptDate=20111231",2.47,"陈水祥",0.327935222672065,914
"71",1,2009-08-19,2010-12-31,"中国建银投资证券有限责任公司",1.44,"rptDate=20101231",1.91,"陈水祥",0.246073298429319,499
"72",1,2009-08-19,2011-12-31,"中国建银投资证券有限责任公司",1.66,"rptDate=20111231",2.47,"陈水祥",0.327935222672065,864
"73",1,2009-08-19,2009-12-31,"中国建银投资证券有限责任公司",1.22,"rptDate=20091231",1.62,"陈水祥",0.246913580246914,134
"74",1,2009-10-30,2009-12-31,"中国建银投资证券有限责任公司",1.22,"rptDate=20091231",1.62,"陈水祥",0.246913580246914,62
"75",1,2009-10-30,2011-12-31,"中国建银投资证券有限责任公司",1.66,"rptDate=20111231",2.47,"陈水祥",0.327935222672065,792
"76",1,2009-10-30,2010-12-31,"中国建银投资证券有限责任公司",1.44,"rptDate=20101231",1.91,"陈水祥",0.246073298429319,427
"77",1,2010-03-15,2011-12-31,"第一创业证券有限责任公司",NA,"rptDate=20111231",2.47,"陈曦",NA,656
"78",1,2010-03-15,2010-12-31,"第一创业证券有限责任公司",1.93,"rptDate=20101231",1.91,"陈曦",0.0104712041884817,291
"79",1,2011-02-25,2012-12-31,"第一创业证券有限责任公司",2.75,"rptDate=20121231",2.62,"陈曦",0.049618320610687,675
"80",1,2011-02-25,2011-12-31,"第一创业证券有限责任公司",2.18,"rptDate=20111231",2.47,"陈曦",0.117408906882591,309
"81",1,2011-04-27,2011-12-31,"第一创业证券有限责任公司",2.34,"rptDate=20111231",2.47,"陈曦",0.0526315789473686,248
"82",1,2011-04-27,2012-12-31,"第一创业证券有限责任公司",2.92,"rptDate=20121231",2.62,"陈曦",0.114503816793893,614
"83",1,2011-10-26,2012-12-31,"中原证券股份有限公司",2.59,"rptDate=20121231",2.62,"陈曦",0.0114503816793894,432
"84",1,2011-10-26,2011-12-31,"中原证券股份有限公司",2.16,"rptDate=20111231",2.47,"陈曦",0.125506072874494,66
"85",1,2012-03-09,2012-12-31,"中原证券股份有限公司",2.33,"rptDate=20121231",2.62,"陈曦",0.110687022900763,297
"86",1,2012-03-09,2013-12-31,"中原证券股份有限公司",2.75,"rptDate=20131231",1.86,"陈曦",0.478494623655914,662
"87",1,2013-04-24,2013-12-31,"中原证券股份有限公司",2.99,"rptDate=20131231",1.86,"陈曦",0.60752688172043,251
"88",1,2013-04-24,2014-12-31,"中原证券股份有限公司",3.47,"rptDate=20141231",1.73,"陈曦",1.00578034682081,616
"89",1,2010-08-25,2011-12-31,"华泰证券股份有限公司",2.28,"rptDate=20111231",2.47,"陈耀邦",0.0769230769230771,493
"90",1,2010-08-25,2012-12-31,"华泰证券股份有限公司",2.81,"rptDate=20121231",2.62,"陈耀邦",0.0725190839694656,859
"91",1,2010-08-25,2010-12-31,"华泰证券股份有限公司",1.77,"rptDate=20101231",1.91,"陈耀邦",0.0732984293193717,128
"92",1,2010-08-25,2010-12-31,"长江证券股份有限公司",1.8,"rptDate=20101231",1.91,"陈志华",0.0575916230366492,128
"93",1,2010-08-25,2011-12-31,"长江证券股份有限公司",2.04,"rptDate=20111231",2.47,"陈志华",0.174089068825911,493
"94",1,2010-09-01,2012-12-31,"长江证券股份有限公司",0.34,"rptDate=20121231",2.62,"陈志华",0.870229007633588,852
"95",1,2010-09-01,2010-12-31,"长江证券股份有限公司",0.21,"rptDate=20101231",1.91,"陈志华",0.890052356020942,121
"96",1,2010-09-01,2011-12-31,"长江证券股份有限公司",0.26,"rptDate=20111231",2.47,"陈志华",0.894736842105263,486
"97",1,2010-10-27,2011-12-31,"长江证券股份有限公司",2.01,"rptDate=20111231",2.47,"陈志华",0.186234817813765,430
"98",1,2010-10-27,2010-12-31,"长江证券股份有限公司",1.83,"rptDate=20101231",1.91,"陈志华",0.0418848167539266,65
"99",1,2011-02-24,2011-12-31,"长江证券股份有限公司",2.28,"rptDate=20111231",2.47,"陈志华",0.0769230769230771,310
"100",1,2011-02-24,2012-12-31,"长江证券股份有限公司",2.79,"rptDate=20121231",2.62,"陈志华",0.0648854961832061,676
"101",1,2011-02-25,2012-12-31,"长江证券股份有限公司",2.79,"rptDate=20121231",2.62,"陈志华",0.0648854961832061,675
"102",1,2011-02-25,2011-12-31,"长江证券股份有限公司",2.28,"rptDate=20111231",2.47,"陈志华",0.0769230769230771,309
"103",1,2011-04-13,2012-12-31,"长江证券股份有限公司",3.01,"rptDate=20121231",2.62,"陈志华",0.148854961832061,628
"104",1,2011-04-13,2011-12-31,"长江证券股份有限公司",2.41,"rptDate=20111231",2.47,"陈志华",0.0242914979757085,262
"105",1,2011-04-26,2011-12-31,"长江证券股份有限公司",2.47,"rptDate=20111231",2.47,"陈志华",0,249
"106",1,2011-04-26,2012-12-31,"长江证券股份有限公司",3.08,"rptDate=20121231",2.62,"陈志华",0.175572519083969,615
"107",1,2011-08-18,2012-12-31,"长江证券股份有限公司",2.11,"rptDate=20121231",2.62,"陈志华",0.194656488549618,501
"108",1,2011-08-18,2011-12-31,"长江证券股份有限公司",1.75,"rptDate=20111231",2.47,"陈志华",0.291497975708502,135
"109",1,2011-10-26,2011-12-31,"长江证券股份有限公司",2.01,"rptDate=20111231",2.47,"陈志华",0.186234817813765,66
"110",1,2011-10-26,2012-12-31,"长江证券股份有限公司",1.74,"rptDate=20121231",2.62,"陈志华",0.33587786259542,432
"111",1,2010-09-02,2010-12-31,"长城证券有限责任公司",NA,"rptDate=20101231",1.91,"程宾宾",NA,120
"112",1,2010-09-02,2011-12-31,"长城证券有限责任公司",NA,"rptDate=20111231",2.47,"程宾宾",NA,485
"113",1,2010-09-02,2012-12-31,"长城证券有限责任公司",NA,"rptDate=20121231",2.62,"程宾宾",NA,851
"114",1,2010-10-28,2012-12-31,"长城证券有限责任公司",NA,"rptDate=20121231",2.62,"程宾宾",NA,795
"115",1,2010-10-28,2011-12-31,"长城证券有限责任公司",2.02,"rptDate=20111231",2.47,"程宾宾",0.182186234817814,429
"116",1,2010-10-28,2010-12-31,"长城证券有限责任公司",1.77,"rptDate=20101231",1.91,"程宾宾",0.0732984293193717,64
"117",1,2010-03-12,2010-12-31,"齐鲁证券有限公司",1.83,"rptDate=20101231",1.91,"程彬彬",0.0418848167539266,294
"118",1,2010-03-12,2011-12-31,"齐鲁证券有限公司",2.4,"rptDate=20111231",2.47,"程彬彬",0.02834008097166,659
"119",1,2010-03-12,2009-12-31,"齐鲁证券有限公司",1.62,"rptDate=20091231",1.62,"程彬彬",0,-71
"120",1,2010-04-29,2010-12-31,"北京高华证券有限责任公司",2,"rptDate=20101231",1.91,"程博为",0.0471204188481676,246
"121",1,2010-04-29,2011-12-31,"北京高华证券有限责任公司",2.48,"rptDate=20111231",2.47,"程博为",0.00404858299595133,611
"122",1,2012-04-25,2011-12-31,"北京高华证券有限责任公司",2.01,"rptDate=20111231",2.47,"程博为",0.186234817813765,-116
"123",1,2012-04-25,2013-12-31,"北京高华证券有限责任公司",2.86,"rptDate=20131231",1.86,"程博为",0.53763440860215,615
"124",1,2012-04-25,2012-12-31,"北京高华证券有限责任公司",2.58,"rptDate=20121231",2.62,"程博为",0.0152671755725191,250
"125",1,2012-10-26,2012-12-31,"北京高华证券有限责任公司",2.42,"rptDate=20121231",2.62,"程博为",0.0763358778625955,66
"126",1,2012-10-26,2014-12-31,"北京高华证券有限责任公司",2.65,"rptDate=20141231",1.73,"程博为",0.531791907514451,796
"127",1,2012-10-26,2013-12-31,"北京高华证券有限责任公司",2.5,"rptDate=20131231",1.86,"程博为",0.344086021505376,431
"128",1,2013-03-08,2012-12-31,"北京高华证券有限责任公司",2.64,"rptDate=20121231",2.62,"程博为",0.00763358778625955,-67
"129",1,2013-03-08,2013-12-31,"北京高华证券有限责任公司",2.92,"rptDate=20131231",1.86,"程博为",0.569892473118279,298
"130",1,2013-03-08,2014-12-31,"北京高华证券有限责任公司",3.35,"rptDate=20141231",1.73,"程博为",0.936416184971098,663
"131",1,2008-07-31,2009-12-31,"齐鲁证券有限公司",2.4,"rptDate=20091231",1.62,"程娇翼",0.481481481481481,518
"132",1,2008-07-31,2008-12-31,"齐鲁证券有限公司",1.7,"rptDate=20081231",0.2,"程娇翼",7.5,153
"133",1,2008-08-21,2008-12-31,"齐鲁证券有限公司",1.71,"rptDate=20081231",0.2,"程娇翼",7.55,132
"134",1,2008-08-21,2009-12-31,"齐鲁证券有限公司",2.41,"rptDate=20091231",1.62,"程娇翼",0.487654320987654,497
"135",1,2009-01-13,2009-12-31,"齐鲁证券有限公司",1.44,"rptDate=20091231",1.62,"程娇翼",0.111111111111111,352
"136",1,2009-01-13,2008-12-31,"齐鲁证券有限公司",0.2,"rptDate=20081231",0.2,"程娇翼",0,-13
"137",1,2009-01-13,2010-12-31,"齐鲁证券有限公司",1.79,"rptDate=20101231",1.91,"程娇翼",0.06282722513089,717
"138",1,2009-03-19,2009-12-31,"齐鲁证券有限公司",1.44,"rptDate=20091231",1.62,"程娇翼",0.111111111111111,287
"139",1,2009-03-19,2010-12-31,"齐鲁证券有限公司",1.73,"rptDate=20101231",1.91,"程娇翼",0.0942408376963351,652
"140",1,2009-08-21,2010-12-31,"齐鲁证券有限公司",1.82,"rptDate=20101231",1.91,"程娇翼",0.0471204188481675,497
"141",1,2009-08-21,2009-12-31,"齐鲁证券有限公司",1.51,"rptDate=20091231",1.62,"程娇翼",0.0679012345679013,132
"142",1,2010-01-06,2011-12-31,"齐鲁证券有限公司",2.27,"rptDate=20111231",2.47,"程娇翼",0.0809716599190284,724
"143",1,2010-01-06,2010-12-31,"齐鲁证券有限公司",1.75,"rptDate=20101231",1.91,"程娇翼",0.0837696335078534,359
"144",1,2010-01-06,2009-12-31,"齐鲁证券有限公司",1.55,"rptDate=20091231",1.62,"程娇翼",0.0432098765432099,-6
"145",1,2010-01-27,2010-12-31,"齐鲁证券有限公司",1.73,"rptDate=20101231",1.91,"程娇翼",0.0942408376963351,338
"146",1,2010-01-27,2009-12-31,"齐鲁证券有限公司",1.6,"rptDate=20091231",1.62,"程娇翼",0.0123456790123457,-27
"147",1,2010-01-27,2011-12-31,"齐鲁证券有限公司",2.24,"rptDate=20111231",2.47,"程娇翼",0.0931174089068826,703
"148",1,2010-09-02,2010-12-31,"齐鲁证券有限公司",1.69,"rptDate=20101231",1.91,"程娇翼",0.115183246073298,120
"149",1,2010-09-02,2012-12-31,"齐鲁证券有限公司",2.32,"rptDate=20121231",2.62,"程娇翼",0.114503816793893,851
"150",1,2010-09-02,2011-12-31,"齐鲁证券有限公司",2.04,"rptDate=20111231",2.47,"程娇翼",0.174089068825911,485
"151",1,2011-02-25,2011-12-31,"齐鲁证券有限公司",2.58,"rptDate=20111231",2.47,"程娇翼",0.0445344129554655,309
"152",1,2011-02-25,2010-12-31,"齐鲁证券有限公司",2.24,"rptDate=20101231",1.91,"程娇翼",0.172774869109948,-56
"153",1,2011-02-25,2012-12-31,"齐鲁证券有限公司",3.04,"rptDate=20121231",2.62,"程娇翼",0.16030534351145,675
"154",1,2011-04-26,2013-12-31,"齐鲁证券有限公司",3.33,"rptDate=20131231",1.86,"程娇翼",0.790322580645161,980
"155",1,2011-04-26,2012-12-31,"齐鲁证券有限公司",2.81,"rptDate=20121231",2.62,"程娇翼",0.0725190839694656,615
"156",1,2011-04-26,2011-12-31,"齐鲁证券有限公司",2.37,"rptDate=20111231",2.47,"程娇翼",0.0404858299595142,249
"157",1,2011-07-04,2011-12-31,"齐鲁证券有限公司",2.03,"rptDate=20111231",2.47,"程娇翼",0.178137651821863,180
"158",1,2011-07-04,2013-12-31,"齐鲁证券有限公司",2.92,"rptDate=20131231",1.86,"程娇翼",0.569892473118279,911
"159",1,2011-07-04,2012-12-31,"齐鲁证券有限公司",2.45,"rptDate=20121231",2.62,"程娇翼",0.0648854961832061,546
"160",1,2011-08-18,2013-12-31,"齐鲁证券有限公司",2.92,"rptDate=20131231",1.86,"程娇翼",0.569892473118279,866
"161",1,2011-08-18,2011-12-31,"齐鲁证券有限公司",2.03,"rptDate=20111231",2.47,"程娇翼",0.178137651821863,135
"162",1,2011-08-18,2012-12-31,"齐鲁证券有限公司",2.45,"rptDate=20121231",2.62,"程娇翼",0.0648854961832061,501
"163",1,2011-10-25,2011-12-31,"齐鲁证券有限公司",2.08,"rptDate=20111231",2.47,"程娇翼",0.157894736842105,67
"164",1,2011-10-25,2012-12-31,"齐鲁证券有限公司",2.16,"rptDate=20121231",2.62,"程娇翼",0.175572519083969,433
"165",1,2011-10-25,2013-12-31,"齐鲁证券有限公司",2.61,"rptDate=20131231",1.86,"程娇翼",0.403225806451613,798
"166",1,2012-01-20,2012-12-31,"齐鲁证券有限公司",2.16,"rptDate=20121231",2.62,"程娇翼",0.175572519083969,346
"167",1,2012-01-20,2013-12-31,"齐鲁证券有限公司",2.61,"rptDate=20131231",1.86,"程娇翼",0.403225806451613,711
"168",1,2012-01-20,2011-12-31,"齐鲁证券有限公司",2.08,"rptDate=20111231",2.47,"程娇翼",0.157894736842105,-20
"169",1,2012-03-09,2014-12-31,"齐鲁证券有限公司",3.38,"rptDate=20141231",1.73,"程娇翼",0.953757225433526,1027
"170",1,2012-03-09,2011-12-31,"齐鲁证券有限公司",2.22,"rptDate=20111231",2.47,"程娇翼",0.101214574898785,-69
"171",1,2012-03-09,2012-12-31,"齐鲁证券有限公司",2.22,"rptDate=20121231",2.62,"程娇翼",0.152671755725191,297
