H_wage,Female,Black,Edu,Exp,Married
15,0,0,14,15,0
11.5,0,0,8,32,1
14.2857,1,0,15,11,1
5,0,0,1,24,1
23.2895,1,0,18,34,0
11,1,1,12,25,1
4,0,0,12,9,0
7,1,0,14,7,1
25,0,0,12,36,1
8.5,1,1,12,32,0
18,1,0,12,24,1
9,0,0,16,11,0
9.25,1,0,12,30,0
12,0,0,13,13,1
16.2222,0,0,16,31,0
13.5,1,0,16,11,1
12,0,0,12,19,0
20,0,0,17,8,0
12.25,0,0,12,25,1
15.5556,0,0,16,26,1
12.5,0,0,16,27,1
37.5,0,0,16,14,1
14.8222,0,0,12,23,1
26.3636,0,0,18,22,1
7.5,0,0,12,17,1
8.8542,0,0,12,11,0
5.22,0,0,12,16,1
10.5,0,0,2,39,1
14,0,0,12,40,0
15,0,0,12,16,0
8.8,0,0,12,20,0
15.91,0,0,12,36,1
20,0,0,18,9,1
14,0,0,13,26,1
20,0,0,15,26,1
6.25,1,0,14,28,1
7.15,1,0,12,33,1
31.26,0,0,14,19,0
14,0,0,12,16,1
13.4,0,0,10,15,0
7.92,0,0,12,38,1
13.25,0,0,17,5,0
4.75,1,0,12,8,1
9.5,1,0,15,34,0
13.85,0,0,9,44,1
6.2222,0,0,12,16,0
2.0202,1,0,16,8,0
7.75,1,0,12,23,1
6.9,0,0,12,30,1
11.6,0,0,12,14,1
13.5,0,0,12,38,1
12,0,0,12,30,1
10,0,0,12,27,1
11,0,0,15,25,1
10.25,0,0,12,32,1
15.29,0,0,12,30,1
6.5789,1,0,12,32,1
4.2857,1,1,12,23,1
5.75,1,0,13,19,1
9.45,1,0,10,40,1
5.3,1,0,8,35,1
7,0,0,16,9,1
7.5,0,0,12,34,1
8,0,0,12,10,1
11.5,0,0,12,17,1
7.4,1,1,10,40,0
12.5,0,1,12,15,1
16,0,0,18,23,1
15.4889,1,0,12,28,1
7,1,0,12,12,0
7.5,0,0,11,17,1
5,1,1,12,9,0
7.24,1,0,14,17,1
25.6429,0,0,14,26,1
16.1778,0,0,18,4,1
9.1429,1,0,15,8,0
5.5116,1,0,12,24,1
12.5,0,0,12,26,1
10.18,1,0,15,11,1
11.625,0,0,12,19,0
10,0,0,14,10,0
17,0,0,14,27,1
7,0,0,6,26,0
15,0,0,16,23,1
8.67,0,0,10,15,0
7.7778,0,0,6,31,0
10,0,0,12,41,1
6.25,1,1,12,19,0
13.25,0,0,8,32,0
13,0,0,14,6,0
14.4737,0,0,12,37,0
11.1429,1,1,16,6,0
16.5,1,0,16,5,1
9.5,1,0,12,41,1
10,1,0,12,10,1
12.45,0,0,12,16,1
5.75,1,0,12,16,0
16,0,0,12,38,1
20.325,1,0,16,37,1
19.26,1,0,16,26,0
14,1,0,16,19,1
14,0,0,16,15,1
13.45,1,0,16,14,1
12,1,0,14,12,0
25,0,0,18,18,1
21.7143,0,0,16,17,1
7.5,1,0,12,9,1
8.4,1,0,12,13,0
10,1,0,12,31,1
8.75,0,0,6,39,1
11,0,0,12,20,1
14.6,0,0,16,6,0
14,0,0,16,22,1
4,0,0,12,19,1
24.2857,1,0,18,24,1
13.32,0,0,12,9,1
4,1,0,13,9,0
15.5,0,0,12,11,0
9.575,1,0,9,39,1
10,0,0,7,46,0
14.5833,0,0,16,8,0
11.975,1,0,12,17,0
7.69,0,0,12,34,0
14,0,0,12,34,1
7.98,0,0,12,17,1
10,0,0,16,5,0
5,1,0,14,31,1
6.5,1,0,12,18,1
7.8,0,0,12,13,1
16.25,0,0,12,40,1
8,1,0,18,3,0
7,1,0,12,23,0
8.3333,0,0,16,17,1
6.6667,1,0,12,34,0
